Entity,http://www.w3.org/2000/01/rdf-schema#label,https://www.fns-cloud.eu/foodComponents/FNS_H_0000003000,
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003010,"'acetic acid'	'Ocetna kislina'","'ACEAC'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003011,"'acesulfame-K'	'Kalijev acesulfam'","'ACESK'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003012,"'aluminium'	'Aluminij'","'AL'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003013,"'alanine'	'Alanin'","'ALA'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003014,"'Albumin'	'albumin'","'ALBU'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003015,"'Alkohol'	'alcohol'","'ALC'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003016,"'ammonia'	'Amonijak'","'AMMON'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003017,"'amylopectin'","'AMYP'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003018,"'amylose'	'Amiloza'","'AMYS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003019,"'apigenin'	'Apigenin'","'APIGEN'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003020,"'arabinose'	'Arabinoza'","'ARAS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003021,"'Arginin'	'arginine'","'ARG'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003022,"'arsenic'	'Arzen'","'AS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003023,"'L-dehydroascorbic acid'","'ASCDL'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003024,"'L-askorbinska kislina'	'L-ascorbic acid'","'ASCL'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003025,"'Pepel'	'ash'","'ASH'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003026,"'asparagine'	'Asparagin'","'ASN'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003027,"'Asparaginska kislina (asparagin)'	'aspartic acid'","'ASP'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003028,"'aspartame'	'Aspartam'","'ASPM'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003029,"'Delta 5-avenasterol (Delta 5-avenastenol)'	'delta 5-avenasterol (delta 5-avenastenol)'","'AVED5'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003030,"'delta 7-avenasterol (delta 7-avenastenol)'	'Delta 7-avenasterol (Delta 7-avenastenol)'","'AVED7'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003031,"'avenasterol, total'	'Avenasterol'","'AVEDT'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003032,"'Bor'	'boron'","'B'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003033,"'Benzojska kislina'	'benzoic acid'","'BENAC'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003034,"'Biohanin A'	'biochanin A'","'BIOCHA'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003035,"'Vitamin B7 (biotin)'	'biotin'","'BIOT'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003036,"'brassicasterol'	'Brasikasterol'","'BRASTR'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003037,"'Brom'	'bromide'","'BRD'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003038,"'calcium'	'Kalcij, Ca'","'CA'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003039,"'Kadaverin'	'cadaverine'","'CADAVT'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003040,"'caffeine'	'Kofein'","'CAFFN'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003041,"'Delta 5-campesterol (Delta 5-campestenol)'	'delta 5-campesterol (delta 5-campestenol)'","'CAMD5'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003042,"'Delta 7-kampesterol (Delta 7-kampestenol)'	'delta 7-campesterol (delta 7-campestenol)'","'CAMD7'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003043,"'Skupni kampesterol'	'campesterol, total'","'CAMT'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003044,"'canthaxanthin'	'Kantaksantin'","'CTX'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003045,"'capsaicin'	'Kapsaicin'","'CAPSA'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003046,"'Skupni karoten (prekurzorji vitamina A)'	'carotene, total (vitamin A precursors)'","'CAROT'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003047,"'Skupni karotenoidi'	'carotenoids, total'","'CAROTENS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003048,"'alpha-carotene'	'Alfa karoten'","'CARTA'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003049,"'beta-carotene'	'Beta karoten'","'CARTB'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003050,"'Ekvivalenti beta-karotena'	'beta-carotene equivalents (provitamin A carotenoids)'","'CARTBEQ'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003051,"'Gama karoten'	'gamma-carotene'","'CARTG'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003052,"'Kazein'	'casein'","'CASN'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003053,"'catechin'	'Katehin'","'CATEC'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003054,"'Kadmij'	'cadmium'","'CD'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003055,"'Celuloza'	'cellulose'","'CELLU'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003056,"'chemical score'","'CHEMSC'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003057,"'quinic acid'","'QUINAC'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003058,"'Lecitin (fosfatidilholin)'	'phosphatidyl choline (lecithin)'","'CHLNP'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003059,"'Izkoristljivi ogljikovi hidrati'	'carbohydrate'","'CHO'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003060,"'cholecalciferol'	'Holekalciferol'","'CHOCAL'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003061,"'25-hydroxycholecalciferol'	'25-hidroksiholekalciferol'","'CHOCALOH'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003062,"'24-metilholest-7-erol'	'24-methylcholest-7-erol'","'CHOLM'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003063,"'choline'	'Holin'","'CHOLN'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003064,"'Holesterol'	'cholesterol'","'CHORL'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003065,"'Skupni ogljikovi hidrati'	'carbohydrate, total'","'CHOT'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003066,"'carbohydrates, unspecified'","'CHOU'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003067,"'Citronska kislina'	'citric acid'","'CITAC'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003068,"'chloride'	'Klorid'","'CLD'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003069,"'Kobalt'	'cobalt'","'CO'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003070,"'carbon dioxide, free'	'Prosti ogljikov dioksid'","'CO2F'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003071,"'collagen'	'Kolagen'","'COLG'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003072,"'Konsistenca'	'consistency'","'CONSISTENCY'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003073,"'Kumestrol'	'coumestrol'","'COUMEST'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003074,"'Krom'	'chromium'","'CR'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003075,"'Kreatin/kreatinin'	'creatine/creatinine'","'CREATN'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003076,"'Kriptoksantini'	'cryptoxanthins'","'CRYPX'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003077,"'alpha-cryptoxanthin'	'Alfa kriptoksantin'","'CRYPXA'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003078,"'beta-cryptoxanthin'	'Beta kriptoksantin'","'CRYPXB'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003079,"'Baker'	'copper'","'CU'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003080,"'Ciklamat'	'cyclamate'","'CYCL'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003081,"'Cistin'	'cystine'","'CYS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003082,"'Cistein'	'cysteine'","'CYSTE'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003083,"'daidzein'	'Daidzein'","'DDZEIN'",
