Carbohydrate components,[GRP_CHO]
Fibre,[GRP_FIB]
Oligosaccharides,[GRP_OLIGO]
Polysaccharide analogues,[GRP_PSAN]
Polysaccharides,[GRP_PSAC]
Starch,[GRP_STAR]
Sugar alcohols,[GRP_SUGOH]
Sugars,[GRP_SUGAR]
Disaccharides,[GRP_DISAC]
Monosaccharides,[GRP_MNSAC]
Sugars in fibre,[GRP_SUGFB]
Food additives,[GRP_FADD]
Food properties and measures,[GRP_FOOD]
Lipid components,[GRP_LIPD]
Carotenoids,[GRP_CART]
Fats,[GRP_FAT]
fat expressed as triacyl glycerol (TAG),[GRP_FATTAG]
Fatty acids,[GRP_FA]
Fatty acids general,[GRP_FAGEN]
Monounsaturated fatty acids,[GRP_FAMS]
Polyunsaturated fatty acids,[GRP_FAPU]
Saturated fatty acids,[GRP_FASAT]
Phospho- and glycolipids,[GRP_PGLIP]
Retinoids,[GRP_RET]
Sterols,[GRP_STERL]
Minerals and inorganic components,[GRP_MIN]
Macroelements,[GRP_MINMAC]
Trace elements,[GRP_MINTR]
Nitrogen components,[GRP_NITR]
Amines and related components,[GRP_AM]
Amino acids,[GRP_AA]
Nitrogen heterocycle components,[GRP_NHET]
Proteins,[GRP_PROT]
Organic acids,[GRP_OA]
Phenolic components,[GRP_PHNL]
Capsaicinoids,[GRP_CAPSA]
Flavonoids,[GRP_FLAV]
Anthocyanidins and anthocyanins,[GRP_ANTCYN]
Flavanols,[GRP_FLAVANOL]
Flavanones,[GRP_FLAVANE]
Flavones,[GRP_FLAVONE]
Flavonols,[GRP_FLAVONOL]
Phytoestrogens,[GRP_PHYTG]
Isoflavonoids,[GRP_ISOFLAV]
Lignans,[GRP_LIGN]
Proximates,[GRP_PROX]
Vitamins,[GRP_VIT]
Fat soluble vitamins,[GRP_VITFAT]
Vitamin A and related components,[GRP_VITA]
Carotenoids,[GRP_CART]
Retinoids,[GRP_RET]
Vitamin D components,[GRP_VITD]
Vitamin E components,[GRP_VITE]
Vitamin K components,[GRP_VITK]
Water soluble vitamins,[GRP_VITH2O]
Folate components,[GRP_FOL]
Vitamin B components,[GRP_VITB]
Vitamin C components,[GRP_VITC]
